,Station,Date,DVS
0,Cheonan,2004-04-16,103.54268651733324
0,Cheonan,2005-04-20,101.5603449601382
0,Cheonan,2006-04-25,100.80092619238114
0,Cheonan,2007-04-19,102.28639885617532
0,Cheonan,2008-04-17,104.38219011361609
0,Cheonan,2009-04-17,102.27746763842111
0,Cheonan,2010-04-20,104.34045426394297
0,Cheonan,2011-04-26,102.10228558233
0,Cheonan,2012-04-23,100.86667745397355
0,Cheonan,2013-04-25,101.25093405867017
0,Cheonan,2014-04-13,103.29537702435063
0,Cheonan,2015-04-19,101.16028033633035
0,Cheonan,2016-04-11,100.02700590349063
0,Cheonan,2017-04-16,101.90323158098711
0,Cheonan,2018-04-13,101.31261382928403
0,Cheonan,2019-04-22,104.61244197427165
0,Cheonan,2020-04-12,101.57297187963162
0,Cheonan,2021-04-03,103.43505741983952
0,Cheonan,2022-04-15,102.0538228332999
0,Cheonan,2023-04-05,101.14114823181619
0,Cheonan,2024-04-09,100.55673103250562
