station,year,Date
Cheonan,2004,2004-04-25
Cheonan,2005,2005-04-28
Cheonan,2006,2006-05-04
Cheonan,2007,2007-05-03
Cheonan,2008,2008-04-22
Cheonan,2009,2009-04-28
Cheonan,2010,2010-05-06
Cheonan,2011,2011-05-05
Cheonan,2012,2012-04-30
Cheonan,2013,2013-05-06
Cheonan,2014,2014-04-21
Cheonan,2015,2015-04-27
Cheonan,2016,2016-04-23
Cheonan,2017,2017-04-26
Cheonan,2018,2018-04-24
Cheonan,2019,2019-05-04
Cheonan,2020,2020-05-02
Cheonan,2021,2021-04-26
Cheonan,2022,2022-04-24
Cheonan,2023,2023-04-21
Cheonan,2024,2024-04-23
