,Station,Date,DVS
0,Ichen,2004-04-16,103.09465322999752
0,Ichen,2005-04-22,102.77595881019933
0,Ichen,2006-04-21,101.2491305689667
0,Ichen,2007-04-21,100.88823018050913
0,Ichen,2008-04-18,104.99214248276715
0,Ichen,2009-04-19,103.93507463413047
0,Ichen,2010-04-27,100.6896033158768
0,Ichen,2011-04-30,102.48818457178392
0,Ichen,2012-04-25,103.72339796030445
0,Ichen,2013-04-28,101.56220471671685
0,Ichen,2014-04-14,100.06551908498894
0,Ichen,2015-04-22,102.9788773411865
0,Ichen,2016-04-13,101.47581802517038
0,Ichen,2017-04-17,101.99913776721876
0,Ichen,2018-04-16,101.13186934940175
0,Ichen,2019-04-21,102.71475959086243
0,Ichen,2020-04-10,102.17312519383938
0,Ichen,2021-04-03,102.20993509425288
0,Ichen,2022-04-12,100.35413034260031
0,Ichen,2023-04-04,101.93735848180117
0,Ichen,2024-04-11,102.61564390843174
