,Station,Date,DVS
0,Yeongcheon,2004-04-10,105.91162320258103
0,Yeongcheon,2005-04-17,103.83610480644778
0,Yeongcheon,2006-04-15,101.37719745916561
0,Yeongcheon,2007-04-12,100.44057950272801
0,Yeongcheon,2008-04-16,102.67293175583214
0,Yeongcheon,2009-04-04,102.43330929768837
0,Yeongcheon,2010-04-19,102.18604994099911
0,Yeongcheon,2011-04-19,101.77141252454457
0,Yeongcheon,2012-04-13,101.13215626437872
0,Yeongcheon,2013-04-12,100.74747950223275
0,Yeongcheon,2014-04-09,100.14261567894499
0,Yeongcheon,2015-04-15,101.49340401783306
0,Yeongcheon,2016-04-08,102.0819537089621
0,Yeongcheon,2017-04-08,100.6648955102046
0,Yeongcheon,2018-04-06,100.03229560150835
0,Yeongcheon,2019-04-06,101.28279318872464
0,Yeongcheon,2020-03-30,101.48131476346704
0,Yeongcheon,2021-03-28,102.92416707059407
0,Yeongcheon,2022-04-09,104.54898631491707
0,Yeongcheon,2023-03-31,100.26537118276178
0,Yeongcheon,2024-04-04,102.71218340125867
