,Station,Date,DVS
0,naju,2004-04-10,104.05319705404219
0,naju,2005-04-19,105.04700991630416
0,naju,2006-04-11,103.33960184755311
0,naju,2007-03-31,101.45442107628276
0,naju,2008-04-15,104.19871070783883
0,naju,2009-04-08,101.38949410201538
0,naju,2010-04-10,101.60630086229563
0,naju,2011-04-21,102.48075828562129
0,naju,2012-04-19,100.93638464066792
0,naju,2013-04-20,100.96207743567354
0,naju,2014-04-12,101.45108460142825
0,naju,2015-04-14,100.54427871646249
0,naju,2016-04-11,102.55103854689459
0,naju,2017-04-15,101.36747226288524
0,naju,2018-04-10,104.0791039098547
0,naju,2019-04-16,102.49387504944235
0,naju,2020-03-26,100.42565648172388
0,naju,2021-03-27,103.17815784964293
0,naju,2022-04-10,102.8101688510814
0,naju,2023-04-03,103.17324604596955
0,naju,2024-04-01,102.08472373695126
