,station,year,Date
0,naju,2024,2024-04-08
0,naju,2023,2023-04-05
0,naju,2022,2022-04-09
0,naju,2021,2021-04-02
0,naju,2020,2020-04-04
0,naju,2019,2019-04-11
0,naju,2018,2018-04-07
0,naju,2017,2017-04-13
0,naju,2016,2016-04-09
0,naju,2015,2015-04-10
0,naju,2014,2014-04-07
0,naju,2013,2013-04-17
0,naju,2012,2012-04-20
0,naju,2011,2011-04-18
0,naju,2010,2010-04-16
0,naju,2009,2009-04-09
0,naju,2008,2008-04-13
0,naju,2007,2007-04-11
0,naju,2006,2006-04-15
0,naju,2005,2005-04-17
0,naju,2004,2004-04-10
