지점,지점명,일시,평균기온(°C),년도,tavg,Date
710,나주,2010-01-01,-6.4,2010,-6.4,2010-01-01
710,나주,2010-01-02,0.1,2010,0.1,2010-01-02
710,나주,2010-01-03,-0.5,2010,-0.5,2010-01-03
710,나주,2010-01-04,-0.6,2010,-0.6,2010-01-04
710,나주,2010-01-05,-3.1,2010,-3.1,2010-01-05
710,나주,2010-01-06,-4.4,2010,-4.4,2010-01-06
710,나주,2010-01-07,-3.7,2010,-3.7,2010-01-07
710,나주,2010-01-08,-2.7,2010,-2.7,2010-01-08
710,나주,2010-01-09,-2.4,2010,-2.4,2010-01-09
710,나주,2010-01-10,0.8,2010,0.8,2010-01-10
710,나주,2010-01-11,0.5,2010,0.5,2010-01-11
710,나주,2010-01-12,-2.5,2010,-2.5,2010-01-12
710,나주,2010-01-13,-6.6,2010,-6.6,2010-01-13
710,나주,2010-01-14,-5.3,2010,-5.3,2010-01-14
710,나주,2010-01-15,-1.4,2010,-1.4,2010-01-15
710,나주,2010-01-16,-3.2,2010,-3.2,2010-01-16
710,나주,2010-01-17,-2.9,2010,-2.9,2010-01-17
710,나주,2010-01-18,-0.6,2010,-0.6,2010-01-18
710,나주,2010-01-19,5.1,2010,5.1,2010-01-19
710,나주,2010-01-20,9.7,2010,9.7,2010-01-20
710,나주,2010-01-21,0.9,2010,0.9,2010-01-21
710,나주,2010-01-22,-1.4,2010,-1.4,2010-01-22
710,나주,2010-01-23,-1.7,2010,-1.7,2010-01-23
710,나주,2010-01-24,-0.3,2010,-0.3,2010-01-24
710,나주,2010-01-25,-0.7,2010,-0.7,2010-01-25
710,나주,2010-01-26,-1.0,2010,-1.0,2010-01-26
710,나주,2010-01-27,0.9,2010,0.9,2010-01-27
710,나주,2010-01-28,3.3,2010,3.3,2010-01-28
710,나주,2010-01-29,-0.4,2010,-0.4,2010-01-29
710,나주,2010-01-30,1.3,2010,1.3,2010-01-30
710,나주,2010-01-31,5.2,2010,5.2,2010-01-31
710,나주,2010-02-01,2.4,2010,2.4,2010-02-01
710,나주,2010-02-02,-1.1,2010,-1.1,2010-02-02
710,나주,2010-02-03,-3.9,2010,-3.9,2010-02-03
710,나주,2010-02-04,-2.8,2010,-2.8,2010-02-04
710,나주,2010-02-05,-2.4,2010,-2.4,2010-02-05
710,나주,2010-02-06,-1.5,2010,-1.5,2010-02-06
710,나주,2010-02-07,1.9,2010,1.9,2010-02-07
710,나주,2010-02-08,6.3,2010,6.3,2010-02-08
710,나주,2010-02-09,8.2,2010,8.2,2010-02-09
710,나주,2010-02-10,6.5,2010,6.5,2010-02-10
710,나주,2010-02-11,4.5,2010,4.5,2010-02-11
710,나주,2010-02-12,1.4,2010,1.4,2010-02-12
710,나주,2010-02-13,-0.3,2010,-0.3,2010-02-13
710,나주,2010-02-14,-0.8,2010,-0.8,2010-02-14
710,나주,2010-02-15,0.0,2010,0.0,2010-02-15
710,나주,2010-02-16,-1.6,2010,-1.6,2010-02-16
710,나주,2010-02-17,-0.3,2010,-0.3,2010-02-17
710,나주,2010-02-18,-0.9,2010,-0.9,2010-02-18
710,나주,2010-02-19,-0.5,2010,-0.5,2010-02-19
710,나주,2010-02-20,1.8,2010,1.8,2010-02-20
710,나주,2010-02-21,3.6,2010,3.6,2010-02-21
710,나주,2010-02-22,4.0,2010,4.0,2010-02-22
710,나주,2010-02-23,6.8,2010,6.8,2010-02-23
710,나주,2010-02-24,12.8,2010,12.8,2010-02-24
710,나주,2010-02-25,15.1,2010,15.1,2010-02-25
710,나주,2010-02-26,10.6,2010,10.6,2010-02-26
710,나주,2010-02-27,8.2,2010,8.2,2010-02-27
710,나주,2010-02-28,9.0,2010,9.0,2010-02-28
710,나주,2010-03-01,9.2,2010,9.2,2010-03-01
710,나주,2010-03-02,5.4,2010,5.4,2010-03-02
710,나주,2010-03-03,6.8,2010,6.8,2010-03-03
710,나주,2010-03-04,6.9,2010,6.9,2010-03-04
710,나주,2010-03-05,7.0,2010,7.0,2010-03-05
710,나주,2010-03-06,5.2,2010,5.2,2010-03-06
710,나주,2010-03-07,6.1,2010,6.1,2010-03-07
710,나주,2010-03-08,6.0,2010,6.0,2010-03-08
710,나주,2010-03-09,2.7,2010,2.7,2010-03-09
710,나주,2010-03-10,-0.5,2010,-0.5,2010-03-10
710,나주,2010-03-11,4.7,2010,4.7,2010-03-11
710,나주,2010-03-12,9.8,2010,9.8,2010-03-12
710,나주,2010-03-13,8.2,2010,8.2,2010-03-13
710,나주,2010-03-14,10.1,2010,10.1,2010-03-14
710,나주,2010-03-15,9.3,2010,9.3,2010-03-15
710,나주,2010-03-16,3.4,2010,3.4,2010-03-16
710,나주,2010-03-17,4.8,2010,4.8,2010-03-17
710,나주,2010-03-18,2.4,2010,2.4,2010-03-18
710,나주,2010-03-19,7.3,2010,7.3,2010-03-19
710,나주,2010-03-20,12.3,2010,12.3,2010-03-20
710,나주,2010-03-21,4.2,2010,4.2,2010-03-21
710,나주,2010-03-22,4.7,2010,4.7,2010-03-22
710,나주,2010-03-23,7.2,2010,7.2,2010-03-23
710,나주,2010-03-24,9.0,2010,9.0,2010-03-24
710,나주,2010-03-25,5.5,2010,5.5,2010-03-25
710,나주,2010-03-26,3.8,2010,3.8,2010-03-26
710,나주,2010-03-27,5.4,2010,5.4,2010-03-27
710,나주,2010-03-28,5.5,2010,5.5,2010-03-28
710,나주,2010-03-29,5.9,2010,5.9,2010-03-29
710,나주,2010-03-30,8.1,2010,8.1,2010-03-30
710,나주,2010-03-31,10.2,2010,10.2,2010-03-31
710,나주,2010-04-01,8.0,2010,8.0,2010-04-01
710,나주,2010-04-02,7.0,2010,7.0,2010-04-02
710,나주,2010-04-03,6.2,2010,6.2,2010-04-03
710,나주,2010-04-04,9.7,2010,9.7,2010-04-04
710,나주,2010-04-05,13.9,2010,13.9,2010-04-05
710,나주,2010-04-06,9.4,2010,9.4,2010-04-06
710,나주,2010-04-07,6.8,2010,6.8,2010-04-07
710,나주,2010-04-08,9.7,2010,9.7,2010-04-08
710,나주,2010-04-09,12.1,2010,12.1,2010-04-09
710,나주,2010-04-10,13.0,2010,13.0,2010-04-10
710,나주,2010-04-11,13.7,2010,13.7,2010-04-11
710,나주,2010-04-12,13.5,2010,13.5,2010-04-12
710,나주,2010-04-13,6.1,2010,6.1,2010-04-13
710,나주,2010-04-14,3.3,2010,3.3,2010-04-14
710,나주,2010-04-15,5.9,2010,5.9,2010-04-15
