,Station,Date,DVS
0,sacheon,2004-03-31,100.18271495614219
0,sacheon,2005-04-11,100.94165052317437
0,sacheon,2006-04-04,102.17016897476952
0,sacheon,2007-03-29,103.24091874237882
0,sacheon,2008-04-11,100.67754255708043
0,sacheon,2009-03-28,100.78246344012184
0,sacheon,2010-04-06,101.49559475027961
0,sacheon,2011-04-15,103.31138237845381
0,sacheon,2012-04-09,103.9560210392083
0,sacheon,2013-04-07,101.1857008647506
0,sacheon,2014-04-03,103.03700056213746
0,sacheon,2015-04-07,100.14833590552261
0,sacheon,2016-04-03,102.84546375806771
0,sacheon,2017-04-06,103.6586512040227
0,sacheon,2018-04-05,102.00926530465973
0,sacheon,2019-04-03,100.55730856423443
0,sacheon,2020-03-22,100.10673196732886
0,sacheon,2021-03-20,101.10390768459546
0,sacheon,2022-04-02,100.30940132897284
0,sacheon,2023-03-31,100.85380174185724
0,sacheon,2024-04-03,102.84717485858565
