지점,지점명,일시,평균기온(°C),년도,tavg,Date
917,사천,2014-01-01,6.4,2014,6.4,2014-01-01
917,사천,2014-01-02,1.9,2014,1.9,2014-01-02
917,사천,2014-01-03,1.8,2014,1.8,2014-01-03
917,사천,2014-01-04,2.2,2014,2.2,2014-01-04
917,사천,2014-01-05,2.6,2014,2.6,2014-01-05
917,사천,2014-01-06,0.2,2014,0.2,2014-01-06
917,사천,2014-01-07,2.4,2014,2.4,2014-01-07
917,사천,2014-01-08,2.6,2014,2.6,2014-01-08
917,사천,2014-01-09,-2.0,2014,-2.0,2014-01-09
917,사천,2014-01-10,-3.4,2014,-3.4,2014-01-10
917,사천,2014-01-11,-2.1,2014,-2.1,2014-01-11
917,사천,2014-01-12,-1.2,2014,-1.2,2014-01-12
917,사천,2014-01-13,-1.2,2014,-1.2,2014-01-13
917,사천,2014-01-14,-0.1,2014,-0.1,2014-01-14
917,사천,2014-01-15,-0.1,2014,-0.1,2014-01-15
917,사천,2014-01-16,-0.7,2014,-0.7,2014-01-16
917,사천,2014-01-17,-0.3,2014,-0.3,2014-01-17
917,사천,2014-01-18,0.0,2014,0.0,2014-01-18
917,사천,2014-01-19,-0.5,2014,-0.5,2014-01-19
917,사천,2014-01-20,3.6,2014,3.6,2014-01-20
917,사천,2014-01-21,-0.7,2014,-0.7,2014-01-21
917,사천,2014-01-22,-2.0,2014,-2.0,2014-01-22
917,사천,2014-01-23,-1.3,2014,-1.3,2014-01-23
917,사천,2014-01-24,4.6,2014,4.6,2014-01-24
917,사천,2014-01-25,8.6,2014,8.6,2014-01-25
917,사천,2014-01-26,1.8,2014,1.8,2014-01-26
917,사천,2014-01-27,3.1,2014,3.1,2014-01-27
917,사천,2014-01-28,5.9,2014,5.9,2014-01-28
917,사천,2014-01-29,4.4,2014,4.4,2014-01-29
917,사천,2014-01-30,7.8,2014,7.8,2014-01-30
917,사천,2014-01-31,3.4,2014,3.4,2014-01-31
917,사천,2014-02-01,10.7,2014,10.7,2014-02-01
917,사천,2014-02-02,12.7,2014,12.7,2014-02-02
917,사천,2014-02-03,7.2,2014,7.2,2014-02-03
917,사천,2014-02-04,-2.2,2014,-2.2,2014-02-04
917,사천,2014-02-05,-1.5,2014,-1.5,2014-02-05
917,사천,2014-02-06,1.8,2014,1.8,2014-02-06
917,사천,2014-02-07,4.0,2014,4.0,2014-02-07
917,사천,2014-02-08,4.4,2014,4.4,2014-02-08
917,사천,2014-02-09,3.6,2014,3.6,2014-02-09
917,사천,2014-02-10,2.1,2014,2.1,2014-02-10
917,사천,2014-02-11,1.5,2014,1.5,2014-02-11
917,사천,2014-02-12,1.8,2014,1.8,2014-02-12
917,사천,2014-02-13,2.8,2014,2.8,2014-02-13
917,사천,2014-02-14,2.6,2014,2.6,2014-02-14
917,사천,2014-02-15,2.0,2014,2.0,2014-02-15
917,사천,2014-02-16,4.0,2014,4.0,2014-02-16
917,사천,2014-02-17,5.5,2014,5.5,2014-02-17
917,사천,2014-02-18,3.2,2014,3.2,2014-02-18
917,사천,2014-02-19,2.1,2014,2.1,2014-02-19
917,사천,2014-02-20,2.6,2014,2.6,2014-02-20
917,사천,2014-02-21,1.9,2014,1.9,2014-02-21
917,사천,2014-02-22,3.1,2014,3.1,2014-02-22
917,사천,2014-02-23,3.8,2014,3.8,2014-02-23
917,사천,2014-02-24,5.0,2014,5.0,2014-02-24
917,사천,2014-02-25,5.9,2014,5.9,2014-02-25
917,사천,2014-02-26,6.1,2014,6.1,2014-02-26
917,사천,2014-02-27,11.0,2014,11.0,2014-02-27
917,사천,2014-02-28,8.7,2014,8.7,2014-02-28
917,사천,2014-03-01,8.1,2014,8.1,2014-03-01
917,사천,2014-03-02,8.4,2014,8.4,2014-03-02
917,사천,2014-03-03,5.0,2014,5.0,2014-03-03
917,사천,2014-03-04,4.7,2014,4.7,2014-03-04
917,사천,2014-03-05,4.7,2014,4.7,2014-03-05
917,사천,2014-03-06,2.5,2014,2.5,2014-03-06
917,사천,2014-03-07,2.5,2014,2.5,2014-03-07
917,사천,2014-03-08,3.5,2014,3.5,2014-03-08
917,사천,2014-03-09,4.0,2014,4.0,2014-03-09
917,사천,2014-03-10,2.3,2014,2.3,2014-03-10
917,사천,2014-03-11,4.9,2014,4.9,2014-03-11
917,사천,2014-03-12,6.1,2014,6.1,2014-03-12
917,사천,2014-03-13,5.1,2014,5.1,2014-03-13
917,사천,2014-03-14,4.0,2014,4.0,2014-03-14
917,사천,2014-03-15,6.4,2014,6.4,2014-03-15
917,사천,2014-03-16,12.3,2014,12.3,2014-03-16
917,사천,2014-03-17,11.8,2014,11.8,2014-03-17
917,사천,2014-03-18,15.5,2014,15.5,2014-03-18
917,사천,2014-03-19,9.9,2014,9.9,2014-03-19
917,사천,2014-03-20,7.6,2014,7.6,2014-03-20
917,사천,2014-03-21,5.3,2014,5.3,2014-03-21
917,사천,2014-03-22,7.8,2014,7.8,2014-03-22
917,사천,2014-03-23,10.5,2014,10.5,2014-03-23
917,사천,2014-03-24,10.5,2014,10.5,2014-03-24
917,사천,2014-03-25,13.0,2014,13.0,2014-03-25
917,사천,2014-03-26,13.7,2014,13.7,2014-03-26
917,사천,2014-03-27,13.4,2014,13.4,2014-03-27
917,사천,2014-03-28,13.7,2014,13.7,2014-03-28
917,사천,2014-03-29,14.4,2014,14.4,2014-03-29
917,사천,2014-03-30,14.7,2014,14.7,2014-03-30
917,사천,2014-03-31,12.8,2014,12.8,2014-03-31
917,사천,2014-04-01,12.6,2014,12.6,2014-04-01
917,사천,2014-04-02,13.0,2014,13.0,2014-04-02
917,사천,2014-04-03,13.0,2014,13.0,2014-04-03
917,사천,2014-04-04,8.7,2014,8.7,2014-04-04
917,사천,2014-04-05,7.3,2014,7.3,2014-04-05
917,사천,2014-04-06,8.3,2014,8.3,2014-04-06
917,사천,2014-04-07,11.6,2014,11.6,2014-04-07
917,사천,2014-04-08,12.2,2014,12.2,2014-04-08
917,사천,2014-04-09,13.3,2014,13.3,2014-04-09
917,사천,2014-04-10,13.5,2014,13.5,2014-04-10
917,사천,2014-04-11,12.1,2014,12.1,2014-04-11
917,사천,2014-04-12,13.3,2014,13.3,2014-04-12
917,사천,2014-04-13,11.7,2014,11.7,2014-04-13
917,사천,2014-04-14,12.2,2014,12.2,2014-04-14
917,사천,2014-04-15,15.6,2014,15.6,2014-04-15
917,사천,2014-04-16,17.2,2014,17.2,2014-04-16
917,사천,2014-04-17,11.6,2014,11.6,2014-04-17
917,사천,2014-04-18,12.5,2014,12.5,2014-04-18
917,사천,2014-04-19,11.5,2014,11.5,2014-04-19
917,사천,2014-04-20,13.3,2014,13.3,2014-04-20
917,사천,2014-04-21,16.1,2014,16.1,2014-04-21
917,사천,2014-04-22,15.9,2014,15.9,2014-04-22
917,사천,2014-04-23,15.2,2014,15.2,2014-04-23
917,사천,2014-04-24,15.0,2014,15.0,2014-04-24
917,사천,2014-04-25,15.1,2014,15.1,2014-04-25
917,사천,2014-04-26,15.6,2014,15.6,2014-04-26
917,사천,2014-04-27,15.3,2014,15.3,2014-04-27
917,사천,2014-04-28,13.7,2014,13.7,2014-04-28
917,사천,2014-04-29,14.0,2014,14.0,2014-04-29
917,사천,2014-04-30,15.9,2014,15.9,2014-04-30
917,사천,2014-05-01,17.6,2014,17.6,2014-05-01
917,사천,2014-05-02,18.8,2014,18.8,2014-05-02
917,사천,2014-05-03,16.6,2014,16.6,2014-05-03
917,사천,2014-05-04,14.7,2014,14.7,2014-05-04
917,사천,2014-05-05,12.8,2014,12.8,2014-05-05
917,사천,2014-05-06,13.4,2014,13.4,2014-05-06
917,사천,2014-05-07,14.3,2014,14.3,2014-05-07
917,사천,2014-05-08,18.9,2014,18.9,2014-05-08
