,Station,Date,DVS
0,ulju,2004-03-31,100.40552234555292
0,ulju,2005-04-11,102.13872396335724
0,ulju,2006-03-30,100.09465818936893
0,ulju,2007-03-24,100.58761487402317
0,ulju,2008-04-07,103.26054183002519
0,ulju,2009-03-20,100.95445199887398
0,ulju,2010-04-08,100.7089512745353
0,ulju,2011-04-15,103.15989812737891
0,ulju,2012-04-11,103.96082087726397
0,ulju,2013-04-06,100.68628447744535
0,ulju,2014-04-01,100.37602352253316
0,ulju,2015-04-15,102.05651551904859
0,ulju,2016-04-09,103.5508648146064
0,ulju,2017-04-08,100.86000794703983
0,ulju,2018-04-10,101.41323637436702
0,ulju,2019-04-04,101.57072407384963
0,ulju,2020-03-24,100.52109728651459
0,ulju,2021-03-23,102.18338115097933
0,ulju,2022-04-07,100.33192153861965
0,ulju,2023-03-30,100.17699796173254
0,ulju,2024-04-03,102.98595456679686
