지점,지점명,일시,평균기온(°C),년도,tavg,Date
900,두서,2007-01-01,6.3,2007,6.3,2007-01-01
900,두서,2007-01-02,8.2,2007,8.2,2007-01-02
900,두서,2007-01-03,6.8,2007,6.8,2007-01-03
900,두서,2007-01-04,5.6,2007,5.6,2007-01-04
900,두서,2007-01-05,5.0,2007,5.0,2007-01-05
900,두서,2007-01-06,3.7,2007,3.7,2007-01-06
900,두서,2007-01-07,1.8,2007,1.8,2007-01-07
900,두서,2007-01-08,2.1,2007,2.1,2007-01-08
900,두서,2007-01-09,2.3,2007,2.3,2007-01-09
900,두서,2007-01-10,2.8,2007,2.8,2007-01-10
900,두서,2007-01-11,3.4,2007,3.4,2007-01-11
900,두서,2007-01-12,2.4,2007,2.4,2007-01-12
900,두서,2007-01-13,-0.1,2007,-0.1,2007-01-13
900,두서,2007-01-14,-0.1,2007,-0.1,2007-01-14
900,두서,2007-01-15,3.0,2007,3.0,2007-01-15
900,두서,2007-01-16,5.4,2007,5.4,2007-01-16
900,두서,2007-01-17,5.7,2007,5.7,2007-01-17
900,두서,2007-01-18,4.7,2007,4.7,2007-01-18
900,두서,2007-01-19,1.3,2007,1.3,2007-01-19
900,두서,2007-01-20,5.2,2007,5.2,2007-01-20
900,두서,2007-01-21,7.0,2007,7.0,2007-01-21
900,두서,2007-01-22,4.3,2007,4.3,2007-01-22
900,두서,2007-01-23,4.0,2007,4.0,2007-01-23
900,두서,2007-01-24,4.8,2007,4.8,2007-01-24
900,두서,2007-01-25,3.0,2007,3.0,2007-01-25
900,두서,2007-01-26,3.0,2007,3.0,2007-01-26
900,두서,2007-01-27,2.6,2007,2.6,2007-01-27
900,두서,2007-01-28,1.4,2007,1.4,2007-01-28
900,두서,2007-01-29,2.9,2007,2.9,2007-01-29
900,두서,2007-01-30,2.4,2007,2.4,2007-01-30
900,두서,2007-01-31,1.2,2007,1.2,2007-01-31
900,두서,2007-02-01,-0.1,2007,-0.1,2007-02-01
900,두서,2007-02-02,-1.6,2007,-1.6,2007-02-02
900,두서,2007-02-03,2.8,2007,2.8,2007-02-03
900,두서,2007-02-04,5.0,2007,5.0,2007-02-04
900,두서,2007-02-05,7.1,2007,7.1,2007-02-05
900,두서,2007-02-06,8.6,2007,8.6,2007-02-06
900,두서,2007-02-07,9.4,2007,9.4,2007-02-07
900,두서,2007-02-08,8.7,2007,8.7,2007-02-08
900,두서,2007-02-09,8.1,2007,8.1,2007-02-09
900,두서,2007-02-10,6.0,2007,6.0,2007-02-10
900,두서,2007-02-11,5.1,2007,5.1,2007-02-11
900,두서,2007-02-12,4.3,2007,4.3,2007-02-12
900,두서,2007-02-13,6.5,2007,6.5,2007-02-13
900,두서,2007-02-14,7.5,2007,7.5,2007-02-14
900,두서,2007-02-15,3.4,2007,3.4,2007-02-15
900,두서,2007-02-16,4.9,2007,4.9,2007-02-16
900,두서,2007-02-17,6.2,2007,6.2,2007-02-17
900,두서,2007-02-18,7.4,2007,7.4,2007-02-18
900,두서,2007-02-19,8.1,2007,8.1,2007-02-19
900,두서,2007-02-20,7.2,2007,7.2,2007-02-20
900,두서,2007-02-21,7.8,2007,7.8,2007-02-21
900,두서,2007-02-22,7.7,2007,7.7,2007-02-22
900,두서,2007-02-23,8.3,2007,8.3,2007-02-23
900,두서,2007-02-24,4.6,2007,4.6,2007-02-24
900,두서,2007-02-25,6.0,2007,6.0,2007-02-25
900,두서,2007-02-26,7.1,2007,7.1,2007-02-26
900,두서,2007-02-27,8.9,2007,8.9,2007-02-27
900,두서,2007-02-28,7.0,2007,7.0,2007-02-28
900,두서,2007-03-01,7.4,2007,7.4,2007-03-01
900,두서,2007-03-02,9.8,2007,9.8,2007-03-02
900,두서,2007-03-03,12.7,2007,12.7,2007-03-03
900,두서,2007-03-04,12.9,2007,12.9,2007-03-04
900,두서,2007-03-05,6.4,2007,6.4,2007-03-05
900,두서,2007-03-06,-0.4,2007,-0.4,2007-03-06
900,두서,2007-03-07,0.5,2007,0.5,2007-03-07
900,두서,2007-03-08,4.1,2007,4.1,2007-03-08
900,두서,2007-03-09,6.2,2007,6.2,2007-03-09
900,두서,2007-03-10,7.0,2007,7.0,2007-03-10
900,두서,2007-03-11,2.6,2007,2.6,2007-03-11
900,두서,2007-03-12,5.9,2007,5.9,2007-03-12
900,두서,2007-03-13,6.6,2007,6.6,2007-03-13
900,두서,2007-03-14,8.2,2007,8.2,2007-03-14
900,두서,2007-03-15,7.6,2007,7.6,2007-03-15
900,두서,2007-03-16,7.6,2007,7.6,2007-03-16
900,두서,2007-03-17,4.3,2007,4.3,2007-03-17
900,두서,2007-03-18,4.7,2007,4.7,2007-03-18
900,두서,2007-03-19,4.8,2007,4.8,2007-03-19
900,두서,2007-03-20,5.7,2007,5.7,2007-03-20
900,두서,2007-03-21,8.9,2007,8.9,2007-03-21
900,두서,2007-03-22,10.6,2007,10.6,2007-03-22
900,두서,2007-03-23,12.8,2007,12.8,2007-03-23
900,두서,2007-03-24,15.1,2007,15.1,2007-03-24
900,두서,2007-03-25,14.9,2007,14.9,2007-03-25
900,두서,2007-03-26,14.8,2007,14.8,2007-03-26
900,두서,2007-03-27,15.0,2007,15.0,2007-03-27
900,두서,2007-03-28,14.5,2007,14.5,2007-03-28
900,두서,2007-03-29,10.5,2007,10.5,2007-03-29
900,두서,2007-03-30,11.0,2007,11.0,2007-03-30
900,두서,2007-03-31,13.7,2007,13.7,2007-03-31
900,두서,2007-04-01,12.6,2007,12.6,2007-04-01
900,두서,2007-04-02,10.8,2007,10.8,2007-04-02
900,두서,2007-04-03,7.8,2007,7.8,2007-04-03
900,두서,2007-04-04,7.7,2007,7.7,2007-04-04
900,두서,2007-04-05,8.9,2007,8.9,2007-04-05
900,두서,2007-04-06,11.5,2007,11.5,2007-04-06
900,두서,2007-04-07,13.5,2007,13.5,2007-04-07
900,두서,2007-04-08,11.3,2007,11.3,2007-04-08
900,두서,2007-04-09,11.7,2007,11.7,2007-04-09
900,두서,2007-04-10,12.6,2007,12.6,2007-04-10
900,두서,2007-04-11,11.6,2007,11.6,2007-04-11
900,두서,2007-04-12,13.8,2007,13.8,2007-04-12
900,두서,2007-04-13,16.5,2007,16.5,2007-04-13
900,두서,2007-04-14,13.6,2007,13.6,2007-04-14
900,두서,2007-04-15,11.5,2007,11.5,2007-04-15
900,두서,2007-04-16,7.3,2007,7.3,2007-04-16
900,두서,2007-04-17,8.6,2007,8.6,2007-04-17
900,두서,2007-04-18,9.8,2007,9.8,2007-04-18
900,두서,2007-04-19,12.7,2007,12.7,2007-04-19
900,두서,2007-04-20,17.1,2007,17.1,2007-04-20
900,두서,2007-04-21,20.1,2007,20.1,2007-04-21
900,두서,2007-04-22,17.9,2007,17.9,2007-04-22
900,두서,2007-04-23,13.0,2007,13.0,2007-04-23
900,두서,2007-04-24,12.9,2007,12.9,2007-04-24
900,두서,2007-04-25,17.3,2007,17.3,2007-04-25
900,두서,2007-04-26,15.9,2007,15.9,2007-04-26
900,두서,2007-04-27,17.5,2007,17.5,2007-04-27
900,두서,2007-04-28,17.6,2007,17.6,2007-04-28
900,두서,2007-04-29,20.0,2007,20.0,2007-04-29
900,두서,2007-04-30,16.7,2007,16.7,2007-04-30
900,두서,2007-05-01,14.9,2007,14.9,2007-05-01
900,두서,2007-05-02,17.9,2007,17.9,2007-05-02
900,두서,2007-05-03,18.8,2007,18.8,2007-05-03
900,두서,2007-05-04,20.0,2007,20.0,2007-05-04
900,두서,2007-05-05,19.1,2007,19.1,2007-05-05
900,두서,2007-05-06,14.7,2007,14.7,2007-05-06
900,두서,2007-05-07,20.3,2007,20.3,2007-05-07
900,두서,2007-05-08,24.3,2007,24.3,2007-05-08
900,두서,2007-05-09,18.2,2007,18.2,2007-05-09
900,두서,2007-05-10,16.3,2007,16.3,2007-05-10
900,두서,2007-05-11,17.8,2007,17.8,2007-05-11
900,두서,2007-05-12,16.7,2007,16.7,2007-05-12
900,두서,2007-05-13,18.8,2007,18.8,2007-05-13
900,두서,2007-05-14,20.2,2007,20.2,2007-05-14
900,두서,2007-05-15,18.1,2007,18.1,2007-05-15
900,두서,2007-05-16,16.2,2007,16.2,2007-05-16
900,두서,2007-05-17,20.3,2007,20.3,2007-05-17
900,두서,2007-05-18,19.2,2007,19.2,2007-05-18
900,두서,2007-05-19,16.1,2007,16.1,2007-05-19
900,두서,2007-05-20,16.2,2007,16.2,2007-05-20
900,두서,2007-05-21,18.1,2007,18.1,2007-05-21
900,두서,2007-05-22,19.9,2007,19.9,2007-05-22
900,두서,2007-05-23,21.1,2007,21.1,2007-05-23
900,두서,2007-05-24,21.3,2007,21.3,2007-05-24
900,두서,2007-05-25,23.7,2007,23.7,2007-05-25
900,두서,2007-05-26,25.8,2007,25.8,2007-05-26
900,두서,2007-05-27,22.6,2007,22.6,2007-05-27
900,두서,2007-05-28,16.3,2007,16.3,2007-05-28
900,두서,2007-05-29,20.1,2007,20.1,2007-05-29
900,두서,2007-05-30,19.5,2007,19.5,2007-05-30
900,두서,2007-05-31,17.0,2007,17.0,2007-05-31
900,두서,2007-06-01,16.9,2007,16.9,2007-06-01
900,두서,2007-06-02,16.9,2007,16.9,2007-06-02
900,두서,2007-06-03,19.4,2007,19.4,2007-06-03
900,두서,2007-06-04,21.5,2007,21.5,2007-06-04
900,두서,2007-06-05,24.2,2007,24.2,2007-06-05
900,두서,2007-06-06,24.8,2007,24.8,2007-06-06
900,두서,2007-06-07,24.2,2007,24.2,2007-06-07
900,두서,2007-06-08,21.1,2007,21.1,2007-06-08
900,두서,2007-06-09,17.8,2007,17.8,2007-06-09
900,두서,2007-06-10,18.8,2007,18.8,2007-06-10
900,두서,2007-06-11,21.3,2007,21.3,2007-06-11
900,두서,2007-06-12,23.1,2007,23.1,2007-06-12
900,두서,2007-06-13,21.3,2007,21.3,2007-06-13
900,두서,2007-06-14,19.3,2007,19.3,2007-06-14
900,두서,2007-06-15,18.5,2007,18.5,2007-06-15
900,두서,2007-06-16,21.0,2007,21.0,2007-06-16
900,두서,2007-06-17,19.1,2007,19.1,2007-06-17
900,두서,2007-06-18,21.4,2007,21.4,2007-06-18
900,두서,2007-06-19,20.7,2007,20.7,2007-06-19
900,두서,2007-06-20,24.3,2007,24.3,2007-06-20
900,두서,2007-06-21,24.3,2007,24.3,2007-06-21
900,두서,2007-06-22,20.2,2007,20.2,2007-06-22
900,두서,2007-06-23,20.3,2007,20.3,2007-06-23
900,두서,2007-06-24,21.0,2007,21.0,2007-06-24
900,두서,2007-06-25,22.9,2007,22.9,2007-06-25
900,두서,2007-06-26,22.9,2007,22.9,2007-06-26
900,두서,2007-06-27,26.1,2007,26.1,2007-06-27
900,두서,2007-06-28,25.9,2007,25.9,2007-06-28
900,두서,2007-06-29,27.4,2007,27.4,2007-06-29
900,두서,2007-06-30,22.1,2007,22.1,2007-06-30
900,두서,2007-07-01,20.2,2007,20.2,2007-07-01
900,두서,2007-07-02,23.0,2007,23.0,2007-07-02
900,두서,2007-07-03,23.9,2007,23.9,2007-07-03
900,두서,2007-07-04,21.5,2007,21.5,2007-07-04
900,두서,2007-07-05,24.3,2007,24.3,2007-07-05
900,두서,2007-07-06,23.4,2007,23.4,2007-07-06
900,두서,2007-07-07,23.7,2007,23.7,2007-07-07
900,두서,2007-07-08,22.9,2007,22.9,2007-07-08
900,두서,2007-07-09,20.7,2007,20.7,2007-07-09
900,두서,2007-07-10,21.3,2007,21.3,2007-07-10
900,두서,2007-07-11,21.2,2007,21.2,2007-07-11
900,두서,2007-07-12,23.7,2007,23.7,2007-07-12
900,두서,2007-07-13,21.0,2007,21.0,2007-07-13
900,두서,2007-07-14,20.3,2007,20.3,2007-07-14
900,두서,2007-07-15,22.3,2007,22.3,2007-07-15
900,두서,2007-07-16,19.9,2007,19.9,2007-07-16
900,두서,2007-07-17,22.9,2007,22.9,2007-07-17
900,두서,2007-07-18,24.6,2007,24.6,2007-07-18
900,두서,2007-07-19,24.5,2007,24.5,2007-07-19
900,두서,2007-07-20,23.2,2007,23.2,2007-07-20
900,두서,2007-07-21,22.6,2007,22.6,2007-07-21
900,두서,2007-07-22,23.4,2007,23.4,2007-07-22
900,두서,2007-07-23,25.3,2007,25.3,2007-07-23
900,두서,2007-07-24,26.1,2007,26.1,2007-07-24
900,두서,2007-07-25,28.8,2007,28.8,2007-07-25
900,두서,2007-07-26,28.9,2007,28.9,2007-07-26
900,두서,2007-07-27,29.7,2007,29.7,2007-07-27
900,두서,2007-07-28,29.3,2007,29.3,2007-07-28
900,두서,2007-07-29,26.9,2007,26.9,2007-07-29
900,두서,2007-07-30,23.6,2007,23.6,2007-07-30
900,두서,2007-07-31,26.4,2007,26.4,2007-07-31
900,두서,2007-08-01,28.1,2007,28.1,2007-08-01
900,두서,2007-08-02,29.1,2007,29.1,2007-08-02
