,Station,Date,DVS
0,wanju,2004-04-13,104.09416838569115
0,wanju,2005-04-19,103.43729703072218
0,wanju,2006-04-17,100.16584564597366
0,wanju,2007-04-12,102.60725702983174
0,wanju,2008-04-17,103.90918197863142
0,wanju,2009-04-12,102.2240710789083
0,wanju,2010-04-13,100.47803992468913
0,wanju,2011-04-26,100.28686371500183
0,wanju,2012-04-25,101.3887173162376
0,wanju,2013-04-19,100.38665629060013
0,wanju,2014-04-10,101.32757858084379
0,wanju,2015-04-15,102.45626774263908
0,wanju,2016-04-07,101.16952990845449
0,wanju,2017-04-16,100.37262333298098
0,wanju,2018-04-10,100.2750809217329
0,wanju,2019-04-20,104.85834554164305
0,wanju,2020-04-04,100.51948328778414
0,wanju,2021-03-26,100.48672472199851
0,wanju,2022-04-12,102.24023928915929
0,wanju,2023-04-03,100.78310453099182
0,wanju,2024-04-02,101.19527542990207
