지점,지점명,일시,평균기온(°C),년도,tavg,Date
734,완주,2009-01-01,-4.9,2009,-4.9,2009-01-01
734,완주,2009-01-02,-4.0,2009,-4.0,2009-01-02
734,완주,2009-01-03,-2.2,2009,-2.2,2009-01-03
734,완주,2009-01-04,-1.3,2009,-1.3,2009-01-04
734,완주,2009-01-05,-2.1,2009,-2.1,2009-01-05
734,완주,2009-01-06,-2.5,2009,-2.5,2009-01-06
734,완주,2009-01-07,-2.4,2009,-2.4,2009-01-07
734,완주,2009-01-08,-2.9,2009,-2.9,2009-01-08
734,완주,2009-01-09,-3.5,2009,-3.5,2009-01-09
734,완주,2009-01-10,-4.5,2009,-4.5,2009-01-10
734,완주,2009-01-11,-5.4,2009,-5.4,2009-01-11
734,완주,2009-01-12,-4.6,2009,-4.6,2009-01-12
734,완주,2009-01-13,-3.5,2009,-3.5,2009-01-13
734,완주,2009-01-14,-4.3,2009,-4.3,2009-01-14
734,완주,2009-01-15,-7.4,2009,-7.4,2009-01-15
734,완주,2009-01-16,-0.3,2009,-0.3,2009-01-16
734,완주,2009-01-17,2.6,2009,2.6,2009-01-17
734,완주,2009-01-18,4.7,2009,4.7,2009-01-18
734,완주,2009-01-19,0.7,2009,0.7,2009-01-19
734,완주,2009-01-20,2.2,2009,2.2,2009-01-20
734,완주,2009-01-21,1.8,2009,1.8,2009-01-21
734,완주,2009-01-22,3.1,2009,3.1,2009-01-22
734,완주,2009-01-23,-4.9,2009,-4.9,2009-01-23
734,완주,2009-01-24,-6.4,2009,-6.4,2009-01-24
734,완주,2009-01-25,-2.5,2009,-2.5,2009-01-25
734,완주,2009-01-26,-3.2,2009,-3.2,2009-01-26
734,완주,2009-01-27,-2.7,2009,-2.7,2009-01-27
734,완주,2009-01-28,-0.2,2009,-0.2,2009-01-28
734,완주,2009-01-29,2.1,2009,2.1,2009-01-29
734,완주,2009-01-30,7.5,2009,7.5,2009-01-30
734,완주,2009-01-31,5.7,2009,5.7,2009-01-31
734,완주,2009-02-01,4.3,2009,4.3,2009-02-01
734,완주,2009-02-02,6.0,2009,6.0,2009-02-02
734,완주,2009-02-03,5.4,2009,5.4,2009-02-03
734,완주,2009-02-04,4.3,2009,4.3,2009-02-04
734,완주,2009-02-05,2.5,2009,2.5,2009-02-05
734,완주,2009-02-06,2.6,2009,2.6,2009-02-06
734,완주,2009-02-07,3.2,2009,3.2,2009-02-07
734,완주,2009-02-08,3.2,2009,3.2,2009-02-08
734,완주,2009-02-09,3.6,2009,3.6,2009-02-09
734,완주,2009-02-10,1.9,2009,1.9,2009-02-10
734,완주,2009-02-11,5.7,2009,5.7,2009-02-11
734,완주,2009-02-12,9.6,2009,9.6,2009-02-12
734,완주,2009-02-13,13.8,2009,13.8,2009-02-13
734,완주,2009-02-14,5.7,2009,5.7,2009-02-14
734,완주,2009-02-15,0.9,2009,0.9,2009-02-15
734,완주,2009-02-16,-3.1,2009,-3.1,2009-02-16
734,완주,2009-02-17,-3.3,2009,-3.3,2009-02-17
734,완주,2009-02-18,-1.4,2009,-1.4,2009-02-18
734,완주,2009-02-19,0.7,2009,0.7,2009-02-19
734,완주,2009-02-20,-0.2,2009,-0.2,2009-02-20
734,완주,2009-02-21,-1.1,2009,-1.1,2009-02-21
734,완주,2009-02-22,1.9,2009,1.9,2009-02-22
734,완주,2009-02-23,5.2,2009,5.2,2009-02-23
734,완주,2009-02-24,8.1,2009,8.1,2009-02-24
734,완주,2009-02-25,5.5,2009,5.5,2009-02-25
734,완주,2009-02-26,4.1,2009,4.1,2009-02-26
734,완주,2009-02-27,4.6,2009,4.6,2009-02-27
734,완주,2009-02-28,3.1,2009,3.1,2009-02-28
734,완주,2009-03-01,2.3,2009,2.3,2009-03-01
734,완주,2009-03-02,2.9,2009,2.9,2009-03-02
734,완주,2009-03-03,1.4,2009,1.4,2009-03-03
734,완주,2009-03-04,3.7,2009,3.7,2009-03-04
734,완주,2009-03-05,5.3,2009,5.3,2009-03-05
734,완주,2009-03-06,2.9,2009,2.9,2009-03-06
734,완주,2009-03-07,1.9,2009,1.9,2009-03-07
734,완주,2009-03-08,4.6,2009,4.6,2009-03-08
734,완주,2009-03-09,5.3,2009,5.3,2009-03-09
734,완주,2009-03-10,4.7,2009,4.7,2009-03-10
734,완주,2009-03-11,3.8,2009,3.8,2009-03-11
734,완주,2009-03-12,7.9,2009,7.9,2009-03-12
734,완주,2009-03-13,5.0,2009,5.0,2009-03-13
734,완주,2009-03-14,0.6,2009,0.6,2009-03-14
734,완주,2009-03-15,5.0,2009,5.0,2009-03-15
734,완주,2009-03-16,9.7,2009,9.7,2009-03-16
734,완주,2009-03-17,13.7,2009,13.7,2009-03-17
734,완주,2009-03-18,18.9,2009,18.9,2009-03-18
734,완주,2009-03-19,17.1,2009,17.1,2009-03-19
734,완주,2009-03-20,13.8,2009,13.8,2009-03-20
734,완주,2009-03-21,14.8,2009,14.8,2009-03-21
734,완주,2009-03-22,8.6,2009,8.6,2009-03-22
734,완주,2009-03-23,4.6,2009,4.6,2009-03-23
734,완주,2009-03-24,4.4,2009,4.4,2009-03-24
734,완주,2009-03-25,3.2,2009,3.2,2009-03-25
734,완주,2009-03-26,4.7,2009,4.7,2009-03-26
734,완주,2009-03-27,3.8,2009,3.8,2009-03-27
734,완주,2009-03-28,4.8,2009,4.8,2009-03-28
734,완주,2009-03-29,7.0,2009,7.0,2009-03-29
734,완주,2009-03-30,8.4,2009,8.4,2009-03-30
734,완주,2009-03-31,5.0,2009,5.0,2009-03-31
734,완주,2009-04-01,2.9,2009,2.9,2009-04-01
734,완주,2009-04-02,5.5,2009,5.5,2009-04-02
734,완주,2009-04-03,7.4,2009,7.4,2009-04-03
734,완주,2009-04-04,9.3,2009,9.3,2009-04-04
734,완주,2009-04-05,7.9,2009,7.9,2009-04-05
734,완주,2009-04-06,8.9,2009,8.9,2009-04-06
734,완주,2009-04-07,12.3,2009,12.3,2009-04-07
734,완주,2009-04-08,13.4,2009,13.4,2009-04-08
734,완주,2009-04-09,15.0,2009,15.0,2009-04-09
734,완주,2009-04-10,15.3,2009,15.3,2009-04-10
734,완주,2009-04-11,14.7,2009,14.7,2009-04-11
734,완주,2009-04-12,15.3,2009,15.3,2009-04-12
734,완주,2009-04-13,15.3,2009,15.3,2009-04-13
734,완주,2009-04-14,15.1,2009,15.1,2009-04-14
734,완주,2009-04-15,11.3,2009,11.3,2009-04-15
734,완주,2009-04-16,11.3,2009,11.3,2009-04-16
734,완주,2009-04-17,11.5,2009,11.5,2009-04-17
734,완주,2009-04-18,13.9,2009,13.9,2009-04-18
734,완주,2009-04-19,17.2,2009,17.2,2009-04-19
734,완주,2009-04-20,15.0,2009,15.0,2009-04-20
734,완주,2009-04-21,10.7,2009,10.7,2009-04-21
734,완주,2009-04-22,9.8,2009,9.8,2009-04-22
734,완주,2009-04-23,12.1,2009,12.1,2009-04-23
734,완주,2009-04-24,13.0,2009,13.0,2009-04-24
734,완주,2009-04-25,9.1,2009,9.1,2009-04-25
734,완주,2009-04-26,9.9,2009,9.9,2009-04-26
734,완주,2009-04-27,10.2,2009,10.2,2009-04-27
734,완주,2009-04-28,12.1,2009,12.1,2009-04-28
734,완주,2009-04-29,13.9,2009,13.9,2009-04-29
734,완주,2009-04-30,14.2,2009,14.2,2009-04-30
734,완주,2009-05-01,15.8,2009,15.8,2009-05-01
734,완주,2009-05-02,16.5,2009,16.5,2009-05-02
734,완주,2009-05-03,17.8,2009,17.8,2009-05-03
734,완주,2009-05-04,17.0,2009,17.0,2009-05-04
734,완주,2009-05-05,16.9,2009,16.9,2009-05-05
734,완주,2009-05-06,20.1,2009,20.1,2009-05-06
734,완주,2009-05-07,17.9,2009,17.9,2009-05-07
734,완주,2009-05-08,18.7,2009,18.7,2009-05-08
734,완주,2009-05-09,19.7,2009,19.7,2009-05-09
734,완주,2009-05-10,19.9,2009,19.9,2009-05-10
734,완주,2009-05-11,21.1,2009,21.1,2009-05-11
734,완주,2009-05-12,16.9,2009,16.9,2009-05-12
734,완주,2009-05-13,17.3,2009,17.3,2009-05-13
734,완주,2009-05-14,17.4,2009,17.4,2009-05-14
734,완주,2009-05-15,17.1,2009,17.1,2009-05-15
734,완주,2009-05-16,15.1,2009,15.1,2009-05-16
734,완주,2009-05-17,13.5,2009,13.5,2009-05-17
734,완주,2009-05-18,15.7,2009,15.7,2009-05-18
734,완주,2009-05-19,18.1,2009,18.1,2009-05-19
734,완주,2009-05-20,20.1,2009,20.1,2009-05-20
