관측지점,시점,평균기온(℃),합계강수량(mm),합계일조시간(hr)
서울,2014.08,25.2,172.8,150.7
서울,2014.09,22.1,88.1,214.3
서울,2015.08,26.3,72.9,207.0
서울,2015.09,22.4,26.0,262.1
서울,2016.08,28.0,67.1,236.1
서울,2016.09,23.1,33.0,191.6
서울,2017.08,25.9,297.0,166.2
서울,2017.09,22.1,35.0,233.7
서울,2018.08,28.8,202.6,232.5
서울,2018.09,21.5,68.5,218.7
서울,2019.08,27.2,190.5,239.3
서울,2019.09,22.6,139.8,168.9
서울,2020.08,26.5,675.7,74.7
서울,2020.09,21.4,181.5,174.3
서울,2021.08,25.9,211.2,127.3
서울,2021.09,22.6,131.0,182.0
서울,2022.08,25.7,564.8,192.95
서울,2022.09,22.4,201.5,203.9
서울,2023.08,27.2,298.1,156.1
서울,2023.09,23.7,134.5,157.1
원주,2014.08,24.6,258.2,136.3
원주,2014.09,21.3,79.7,212.2
원주,2015.08,26.2,101.5,246.3
원주,2015.09,20.7,36.6,228.5
원주,2016.08,27.0,49.4,188.7
원주,2016.09,21.8,47.1,126.3
원주,2017.08,24.2,273.6,130.6
원주,2017.09,19.5,16.0,204.1
원주,2018.08,27.4,258.2,200.3
원주,2018.09,19.9,147.6,189.2
원주,2019.08,26.2,142.4,228.7
원주,2019.09,21.4,171.1,134.9
원주,2020.08,26.1,634.0,110.6
원주,2020.09,19.9,148.9,174.0
원주,2021.08,24.6,172.9,141.5
원주,2021.09,21.1,183.5,168.8
원주,2022.08,24.9,512.3,126.9
원주,2022.09,20.9,118.3,139.8
원주,2023.08,26.7,233.0,152.7
원주,2023.09,22.7,158.6,160.7
대전,2014.08,24.2,240.9,126.3
대전,2014.09,21.6,118.0,206.2
대전,2015.08,26.4,51.6,228.5
대전,2015.09,21.7,18.5,241.6
대전,2016.08,27.9,57.4,256.0
대전,2016.09,22.4,196.0,146.8
대전,2017.08,26.0,293.8,194.6
대전,2017.09,21.1,111.4,223.9
대전,2018.08,29.0,408.6,220.5
대전,2018.09,21.2,149.4,196.7
대전,2019.08,27.2,104.3,230.1
대전,2019.09,22.5,167.0,153.2
대전,2020.08,27.5,361.6,176.8
대전,2020.09,21.2,173.6,196.3
대전,2021.08,25.8,289.2,152.7
대전,2021.09,22.4,161.2,167.5
대전,2022.08,25.7,496.1,115.7
대전,2022.09,21.8,90.2,184.7
대전,2023.08,27.0,326.9,186.4
대전,2023.09,22.8,310.2,157.5
광주,2014.08,24.4,370.2,123.2
광주,2014.09,22.3,116.5,199.2
광주,2015.08,26.0,148.9,174.6
광주,2015.09,22.0,66.6,217.4
광주,2016.08,27.8,81.0,236.3
광주,2016.09,23.0,251.2,135.1
광주,2017.08,27.0,280.5,189.7
광주,2017.09,22.4,108.8,186.7
광주,2018.08,28.4,397.1,229.0
광주,2018.09,21.6,129.7,159.3
광주,2019.08,27.0,64.8,192.2
광주,2019.09,22.9,165.8,145.8
광주,2020.08,27.6,738.1,169.8
광주,2020.09,21.3,178.3,158.7
광주,2021.08,25.8,338.7,141.7
광주,2021.09,22.9,131.1,124.8
광주,2022.08,26.9,106.4,129.3
광주,2022.09,23.1,89.2,171.1
광주,2023.08,27.3,341.2,212.9
광주,2023.09,23.8,152.5,159.9
서귀포,2014.08,25.5,555.1,143.1
서귀포,2014.09,24.3,178.7,185.8
서귀포,2015.08,26.2,157.3,217.8
서귀포,2015.09,22.8,295.1,209.9
서귀포,2016.08,27.7,170.9,282.7
서귀포,2016.09,23.7,194.3,126.0
서귀포,2017.08,27.5,437.3,233.1
서귀포,2017.09,23.5,98.3,159.8
서귀포,2018.08,27.8,159.6,228.4
서귀포,2018.09,23.5,473.8,150.5
서귀포,2019.08,27.1,317.3,198.8
서귀포,2019.09,24.1,394.9,151.6
서귀포,2020.08,27.4,159.2,183.0
서귀포,2020.09,22.1,424.9,164.6
서귀포,2021.08,26.3,318.4,179.5
서귀포,2021.09,24.3,692.4,169.8
서귀포,2022.08,27.7,263.1,219.0
서귀포,2022.09,24.3,326.1,160.8
서귀포,2023.08,28.0,218.9,250.9
서귀포,2023.09,25.8,126.4,217.7
인제,2014.08,22.4,177.1,141.3
인제,2014.09,18.7,132.5,179.0
인제,2015.08,23.4,118.8,203.9
인제,2015.09,18.0,27.5,204.2
인제,2016.08,24.4,96.0,209.8
인제,2016.09,19.4,46.3,162.0
인제,2017.08,24.2,303.8,155.7
인제,2017.09,19.6,27.9,223.2
인제,2018.08,24.9,266.5,204.4
인제,2018.09,17.6,66.6,183.2
인제,2019.08,24.2,147.1,195.6
인제,2019.09,19.4,175.7,119.0
인제,2020.08,24.9,668.8,77.0
인제,2020.09,18.5,193.5,114.9
인제,2021.08,23.3,154.1,100.9
인제,2021.09,19.7,84.0,140.5
인제,2022.08,23.9,460.1,152.5
인제,2022.09,19.0,227.1,164.5
인제,2023.08,25.1,219.8,157.4
인제,2023.09,20.9,128.8,138.8
홍천,2014.08,23.7,164.1,142.5
홍천,2014.09,19.9,103.6,195.4
홍천,2015.08,25.4,114.6,219.8
홍천,2015.09,19.6,42.5,236.2
홍천,2016.08,26.6,38.5,226.9
홍천,2016.09,21.0,61.4,175.0
홍천,2017.08,22.8,299.6,134.0
홍천,2017.09,18.0,51.0,199.1
홍천,2018.08,27.2,300.6,234.4
홍천,2018.09,19.2,77.0,200.3
홍천,2019.08,26.1,215.1,229.9
홍천,2019.09,21.0,136.7,128.9
홍천,2020.08,25.5,744.8,88.4
홍천,2020.09,18.9,136.3,141.9
홍천,2021.08,24.0,152.9,131.8
홍천,2021.09,20.4,122.7,162.9
홍천,2022.08,24.3,595.4,104.7
홍천,2022.09,19.5,242.9,164.1
홍천,2023.08,25.7,144.6,172.0
홍천,2023.09,21.5,154.0,144.0
제천,2014.08,22.4,246.2,103.8
제천,2014.09,18.5,131.0,177.0
제천,2015.08,23.8,63.8,188.4
제천,2015.09,18.1,36.6,207.7
제천,2016.08,25.3,113.8,209.9
제천,2016.09,20.0,47.3,113.6
제천,2017.08,23.0,248.0,123.0
제천,2017.09,18.1,27.7,140.6
제천,2018.08,25.9,350.3,174.3
제천,2018.09,18.0,185.5,152.8
제천,2019.08,24.8,99.1,183.6
제천,2019.09,20.0,164.5,113.5
제천,2020.08,24.8,685.8,93.6
제천,2020.09,18.1,134.1,131.9
제천,2021.08,23.1,174.9,118.1
제천,2021.09,19.6,209.2,158.4
제천,2022.08,23.4,151.45,165.0
제천,2022.09,18.9,93.7,171.6
제천,2023.08,25.0,240.9,179.8
제천,2023.09,20.9,234.6,168.3
보은,2014.08,22.7,288.7,105.2
보은,2014.09,19.2,106.7,176.8
보은,2015.08,24.2,85.2,180.2
보은,2015.09,18.8,38.8,200.0
보은,2016.08,26.0,53.0,238.6
보은,2016.09,20.5,149.4,118.7
보은,2017.08,23.6,265.1,142.1
보은,2017.09,17.9,43.3,181.2
보은,2018.08,26.9,386.0,196.2
보은,2018.09,19.2,134.7,171.9
보은,2019.08,25.5,132.7,193.1
보은,2019.09,20.9,186.2,119.5
보은,2020.08,25.4,587.8,120.7
보은,2020.09,18.7,162.2,152.1
보은,2021.08,23.8,275.8,122.3
보은,2021.09,20.2,162.2,135.6
보은,2022.08,24.3,391.9,112.8
보은,2022.09,19.8,71.7,175.3
보은,2023.08,25.8,242.9,195.0
보은,2023.09,21.4,243.2,149.3
정읍,2014.08,24.2,392.3,112.9
정읍,2014.09,21.7,85.5,202.5
정읍,2015.08,25.9,88.2,217.6
정읍,2015.09,21.6,18.1,212.1
정읍,2016.08,27.6,115.8,264.4
정읍,2016.09,22.7,195.4,166.1
정읍,2017.08,24.7,226.0,174.5
정읍,2017.09,19.1,115.5,187.4
정읍,2018.08,27.9,291.9,224.6
정읍,2018.09,20.7,103.5,175.4
정읍,2019.08,26.0,200.1,141.9
정읍,2019.09,21.6,300.9,116.9
정읍,2020.08,27.2,530.4,98.6
정읍,2020.09,20.4,211.4,177.6
정읍,2021.08,25.1,358.7,165.8
정읍,2021.09,22.1,156.8,147.8
정읍,2022.08,26.0,134.4,140.6
정읍,2022.09,21.5,124.5,148.3
정읍,2023.08,26.9,260.2,156.1
정읍,2023.09,23.0,198.8,163.9
해남,2014.08,24.3,347.2,94.5
해남,2014.09,21.6,96.5,171.1
해남,2015.08,25.0,155.7,191.2
해남,2015.09,20.4,67.9,208.6
해남,2016.08,27.2,25.1,281.6
해남,2016.09,22.2,194.0,130.8
해남,2017.08,26.2,216.5,215.1
해남,2017.09,21.0,96.4,183.0
해남,2018.08,27.5,204.2,214.3
해남,2018.09,20.7,128.4,154.0
해남,2019.08,25.6,205.2,214.9
해남,2019.09,22.0,258.9,147.1
해남,2020.08,27.4,153.7,184.5
해남,2020.09,20.8,295.7,158.7
해남,2021.08,25.8,172.3,186.2
해남,2021.09,22.0,108.2,126.3
해남,2022.08,26.6,115.6,149.5
해남,2022.09,22.1,180.0,202.75
해남,2023.08,26.9,199.8,256.0
해남,2023.09,23.7,124.7,190.7
영천,2014.08,23.4,480.5,89.7
영천,2014.09,20.1,122.5,169.6
영천,2015.08,25.6,142.5,170.0
영천,2015.09,19.8,72.5,177.1
영천,2016.08,26.9,89.2,270.7
영천,2016.09,21.4,342.2,99.3
영천,2017.08,25.7,191.7,204.3
영천,2017.09,20.5,90.5,218.6
영천,2018.08,27.1,243.2,212.3
영천,2018.09,20.4,107.1,141.4
영천,2019.08,26.7,174.4,216.4
영천,2019.09,22.1,157.0,135.3
영천,2020.08,27.0,246.9,190.0
영천,2020.09,19.8,201.6,140.2
영천,2021.08,24.5,272.0,125.0
