지점,지점명,일시,평균기온(°C),년도,tavg,Date
710,나주,2005-01-01,-2.7,2005,-2.7,2005-01-01
710,나주,2005-01-02,-0.1,2005,-0.1,2005-01-02
710,나주,2005-01-03,2.9,2005,2.9,2005-01-03
710,나주,2005-01-04,-1.2,2005,-1.2,2005-01-04
710,나주,2005-01-05,-3.4,2005,-3.4,2005-01-05
710,나주,2005-01-06,1.2,2005,1.2,2005-01-06
710,나주,2005-01-07,0.7,2005,0.7,2005-01-07
710,나주,2005-01-08,-1.9,2005,-1.9,2005-01-08
710,나주,2005-01-09,-4.1,2005,-4.1,2005-01-09
710,나주,2005-01-10,-1.5,2005,-1.5,2005-01-10
710,나주,2005-01-11,0.0,2005,0.0,2005-01-11
710,나주,2005-01-12,-0.9,2005,-0.9,2005-01-12
710,나주,2005-01-13,-2.0,2005,-2.0,2005-01-13
710,나주,2005-01-14,-2.5,2005,-2.5,2005-01-14
710,나주,2005-01-15,-1.7,2005,-1.7,2005-01-15
710,나주,2005-01-16,-0.5,2005,-0.5,2005-01-16
710,나주,2005-01-17,-1.3,2005,-1.3,2005-01-17
710,나주,2005-01-18,0.9,2005,0.9,2005-01-18
710,나주,2005-01-19,0.8,2005,0.8,2005-01-19
710,나주,2005-01-20,-2.2,2005,-2.2,2005-01-20
710,나주,2005-01-21,-2.7,2005,-2.7,2005-01-21
710,나주,2005-01-22,-0.6,2005,-0.6,2005-01-22
710,나주,2005-01-23,1.5,2005,1.5,2005-01-23
710,나주,2005-01-24,1.2,2005,1.2,2005-01-24
710,나주,2005-01-25,-0.6,2005,-0.6,2005-01-25
710,나주,2005-01-26,0.5,2005,0.5,2005-01-26
710,나주,2005-01-27,1.3,2005,1.3,2005-01-27
710,나주,2005-01-28,0.7,2005,0.7,2005-01-28
710,나주,2005-01-29,-1.9,2005,-1.9,2005-01-29
710,나주,2005-01-30,-3.6,2005,-3.6,2005-01-30
710,나주,2005-01-31,-3.2,2005,-3.2,2005-01-31
710,나주,2005-02-01,-5.2,2005,-5.2,2005-02-01
710,나주,2005-02-02,-3.6,2005,-3.6,2005-02-02
710,나주,2005-02-03,-2.1,2005,-2.1,2005-02-03
710,나주,2005-02-04,-0.5,2005,-0.5,2005-02-04
710,나주,2005-02-05,-0.6,2005,-0.6,2005-02-05
710,나주,2005-02-06,0.8,2005,0.8,2005-02-06
710,나주,2005-02-07,4.2,2005,4.2,2005-02-07
710,나주,2005-02-08,1.3,2005,1.3,2005-02-08
710,나주,2005-02-09,0.0,2005,0.0,2005-02-09
710,나주,2005-02-10,-2.2,2005,-2.2,2005-02-10
710,나주,2005-02-11,-3.4,2005,-3.4,2005-02-11
710,나주,2005-02-12,-2.0,2005,-2.0,2005-02-12
710,나주,2005-02-13,-1.4,2005,-1.4,2005-02-13
710,나주,2005-02-14,1.4,2005,1.4,2005-02-14
710,나주,2005-02-15,6.6,2005,6.6,2005-02-15
710,나주,2005-02-16,7.3,2005,7.3,2005-02-16
710,나주,2005-02-17,8.7,2005,8.7,2005-02-17
710,나주,2005-02-18,3.8,2005,3.8,2005-02-18
710,나주,2005-02-19,-0.4,2005,-0.4,2005-02-19
710,나주,2005-02-20,-4.0,2005,-4.0,2005-02-20
710,나주,2005-02-21,-3.2,2005,-3.2,2005-02-21
710,나주,2005-02-22,2.1,2005,2.1,2005-02-22
710,나주,2005-02-23,2.1,2005,2.1,2005-02-23
710,나주,2005-02-24,1.8,2005,1.8,2005-02-24
710,나주,2005-02-25,-1.0,2005,-1.0,2005-02-25
