지점,지점명,일시,평균기온(°C),년도,tavg,Date
917,사천,2011-01-01,-1.4,2011,-1.4,2011-01-01
917,사천,2011-01-02,0.4,2011,0.4,2011-01-02
917,사천,2011-01-03,0.4,2011,0.4,2011-01-03
917,사천,2011-01-04,-0.7,2011,-0.7,2011-01-04
917,사천,2011-01-05,-0.7,2011,-0.7,2011-01-05
917,사천,2011-01-06,-2.4,2011,-2.4,2011-01-06
917,사천,2011-01-07,-3.2,2011,-3.2,2011-01-07
917,사천,2011-01-08,-2.9,2011,-2.9,2011-01-08
917,사천,2011-01-09,-1.7,2011,-1.7,2011-01-09
917,사천,2011-01-10,-4.1,2011,-4.1,2011-01-10
917,사천,2011-01-11,-2.7,2011,-2.7,2011-01-11
917,사천,2011-01-12,-3.0,2011,-3.0,2011-01-12
917,사천,2011-01-13,-3.6,2011,-3.6,2011-01-13
917,사천,2011-01-14,-1.4,2011,-1.4,2011-01-14
917,사천,2011-01-15,-3.7,2011,-3.7,2011-01-15
917,사천,2011-01-16,-8.5,2011,-8.5,2011-01-16
917,사천,2011-01-17,-4.2,2011,-4.2,2011-01-17
917,사천,2011-01-18,-2.9,2011,-2.9,2011-01-18
917,사천,2011-01-19,-4.4,2011,-4.4,2011-01-19
917,사천,2011-01-20,-3.4,2011,-3.4,2011-01-20
917,사천,2011-01-21,-2.5,2011,-2.5,2011-01-21
917,사천,2011-01-22,-2.0,2011,-2.0,2011-01-22
917,사천,2011-01-23,0.8,2011,0.8,2011-01-23
917,사천,2011-01-24,-2.8,2011,-2.8,2011-01-24
917,사천,2011-01-25,-4.0,2011,-4.0,2011-01-25
917,사천,2011-01-26,-4.3,2011,-4.3,2011-01-26
917,사천,2011-01-27,-2.5,2011,-2.5,2011-01-27
917,사천,2011-01-28,-1.0,2011,-1.0,2011-01-28
917,사천,2011-01-29,-3.3,2011,-3.3,2011-01-29
917,사천,2011-01-30,-6.2,2011,-6.2,2011-01-30
917,사천,2011-01-31,-5.5,2011,-5.5,2011-01-31
917,사천,2011-02-01,-1.7,2011,-1.7,2011-02-01
917,사천,2011-02-02,0.6,2011,0.6,2011-02-02
917,사천,2011-02-03,0.3,2011,0.3,2011-02-03
917,사천,2011-02-04,1.8,2011,1.8,2011-02-04
917,사천,2011-02-05,1.3,2011,1.3,2011-02-05
917,사천,2011-02-06,2.8,2011,2.8,2011-02-06
917,사천,2011-02-07,2.1,2011,2.1,2011-02-07
917,사천,2011-02-08,2.3,2011,2.3,2011-02-08
917,사천,2011-02-09,2.3,2011,2.3,2011-02-09
917,사천,2011-02-10,0.4,2011,0.4,2011-02-10
917,사천,2011-02-11,0.5,2011,0.5,2011-02-11
