지점,지점명,일시,평균기온(°C),년도,tavg,Date
900,두서,2018-01-01,1.1,2018,1.1,2018-01-01
900,두서,2018-01-02,3.1,2018,3.1,2018-01-02
900,두서,2018-01-03,0.4,2018,0.4,2018-01-03
900,두서,2018-01-04,0.4,2018,0.4,2018-01-04
900,두서,2018-01-05,2.4,2018,2.4,2018-01-05
900,두서,2018-01-06,0.6,2018,0.6,2018-01-06
900,두서,2018-01-07,0.9,2018,0.9,2018-01-07
900,두서,2018-01-08,3.5,2018,3.5,2018-01-08
900,두서,2018-01-09,0.6,2018,0.6,2018-01-09
900,두서,2018-01-10,-2.4,2018,-2.4,2018-01-10
900,두서,2018-01-11,-6.3,2018,-6.3,2018-01-11
900,두서,2018-01-12,-5.9,2018,-5.9,2018-01-12
900,두서,2018-01-13,-2.0,2018,-2.0,2018-01-13
900,두서,2018-01-14,-1.6,2018,-1.6,2018-01-14
900,두서,2018-01-15,4.2,2018,4.2,2018-01-15
900,두서,2018-01-16,5.7,2018,5.7,2018-01-16
900,두서,2018-01-17,4.1,2018,4.1,2018-01-17
900,두서,2018-01-18,4.3,2018,4.3,2018-01-18
900,두서,2018-01-19,2.7,2018,2.7,2018-01-19
900,두서,2018-01-20,3.6,2018,3.6,2018-01-20
900,두서,2018-01-21,2.9,2018,2.9,2018-01-21
900,두서,2018-01-22,4.1,2018,4.1,2018-01-22
900,두서,2018-01-23,-3.8,2018,-3.8,2018-01-23
900,두서,2018-01-24,-8.9,2018,-8.9,2018-01-24
900,두서,2018-01-25,-7.4,2018,-7.4,2018-01-25
900,두서,2018-01-26,-8.1,2018,-8.1,2018-01-26
900,두서,2018-01-27,-5.2,2018,-5.2,2018-01-27
900,두서,2018-01-28,-0.4,2018,-0.4,2018-01-28
900,두서,2018-01-29,-4.5,2018,-4.5,2018-01-29
900,두서,2018-01-30,-4.0,2018,-4.0,2018-01-30
900,두서,2018-01-31,-0.6,2018,-0.6,2018-01-31
900,두서,2018-02-01,0.2,2018,0.2,2018-02-01
900,두서,2018-02-02,-0.5,2018,-0.5,2018-02-02
900,두서,2018-02-03,-3.1,2018,-3.1,2018-02-03
900,두서,2018-02-04,-6.4,2018,-6.4,2018-02-04
900,두서,2018-02-05,-6.1,2018,-6.1,2018-02-05
900,두서,2018-02-06,-6.9,2018,-6.9,2018-02-06
900,두서,2018-02-07,-5.0,2018,-5.0,2018-02-07
900,두서,2018-02-08,-2.8,2018,-2.8,2018-02-08
