지점,지점명,일시,평균기온(°C),년도,tavg,Date
734,완주,2006-01-01,0.8,2006,0.8,2006-01-01
734,완주,2006-01-02,1.8,2006,1.8,2006-01-02
734,완주,2006-01-03,-1.1,2006,-1.1,2006-01-03
734,완주,2006-01-04,-2.9,2006,-2.9,2006-01-04
734,완주,2006-01-05,-6.4,2006,-6.4,2006-01-05
734,완주,2006-01-06,-5.4,2006,-5.4,2006-01-06
734,완주,2006-01-07,-6.3,2006,-6.3,2006-01-07
734,완주,2006-01-08,-4.0,2006,-4.0,2006-01-08
734,완주,2006-01-09,-0.4,2006,-0.4,2006-01-09
734,완주,2006-01-10,-0.6,2006,-0.6,2006-01-10
734,완주,2006-01-11,-1.1,2006,-1.1,2006-01-11
734,완주,2006-01-12,2.2,2006,2.2,2006-01-12
734,완주,2006-01-13,6.7,2006,6.7,2006-01-13
734,완주,2006-01-14,4.6,2006,4.6,2006-01-14
734,완주,2006-01-15,3.7,2006,3.7,2006-01-15
734,완주,2006-01-16,1.3,2006,1.3,2006-01-16
734,완주,2006-01-17,2.6,2006,2.6,2006-01-17
734,완주,2006-01-18,2.4,2006,2.4,2006-01-18
734,완주,2006-01-19,3.5,2006,3.5,2006-01-19
734,완주,2006-01-20,3.3,2006,3.3,2006-01-20
734,완주,2006-01-21,0.2,2006,0.2,2006-01-21
734,완주,2006-01-22,-2.2,2006,-2.2,2006-01-22
734,완주,2006-01-23,-4.2,2006,-4.2,2006-01-23
734,완주,2006-01-24,-3.7,2006,-3.7,2006-01-24
734,완주,2006-01-25,-1.6,2006,-1.6,2006-01-25
734,완주,2006-01-26,0.3,2006,0.3,2006-01-26
734,완주,2006-01-27,0.1,2006,0.1,2006-01-27
734,완주,2006-01-28,0.1,2006,0.1,2006-01-28
734,완주,2006-01-29,5.6,2006,5.6,2006-01-29
734,완주,2006-01-30,7.6,2006,7.6,2006-01-30
734,완주,2006-01-31,5.4,2006,5.4,2006-01-31
734,완주,2006-02-01,1.8,2006,1.8,2006-02-01
734,완주,2006-02-02,-0.8,2006,-0.8,2006-02-02
734,완주,2006-02-03,-7.7,2006,-7.7,2006-02-03
734,완주,2006-02-04,-7.5,2006,-7.5,2006-02-04
734,완주,2006-02-05,-4.2,2006,-4.2,2006-02-05
734,완주,2006-02-06,0.4,2006,0.4,2006-02-06
734,완주,2006-02-07,0.8,2006,0.8,2006-02-07
734,완주,2006-02-08,-5.1,2006,-5.1,2006-02-08
734,완주,2006-02-09,-4.9,2006,-4.9,2006-02-09
734,완주,2006-02-10,1.1,2006,1.1,2006-02-10
734,완주,2006-02-11,1.9,2006,1.9,2006-02-11
734,완주,2006-02-12,-0.9,2006,-0.9,2006-02-12
734,완주,2006-02-13,4.2,2006,4.2,2006-02-13
734,완주,2006-02-14,8.2,2006,8.2,2006-02-14
734,완주,2006-02-15,4.4,2006,4.4,2006-02-15
734,완주,2006-02-16,3.4,2006,3.4,2006-02-16
734,완주,2006-02-17,-3.5,2006,-3.5,2006-02-17
734,완주,2006-02-18,-1.3,2006,-1.3,2006-02-18
734,완주,2006-02-19,2.2,2006,2.2,2006-02-19
734,완주,2006-02-20,3.8,2006,3.8,2006-02-20
734,완주,2006-02-21,4.6,2006,4.6,2006-02-21
734,완주,2006-02-22,2.3,2006,2.3,2006-02-22
734,완주,2006-02-23,1.9,2006,1.9,2006-02-23
734,완주,2006-02-24,4.4,2006,4.4,2006-02-24
734,완주,2006-02-25,6.4,2006,6.4,2006-02-25
734,완주,2006-02-26,3.9,2006,3.9,2006-02-26
734,완주,2006-02-27,0.6,2006,0.6,2006-02-27
734,완주,2006-02-28,4.0,2006,4.0,2006-02-28
734,완주,2006-03-01,1.8,2006,1.8,2006-03-01
734,완주,2006-03-02,0.2,2006,0.2,2006-03-02
734,완주,2006-03-03,-1.1,2006,-1.1,2006-03-03
734,완주,2006-03-04,5.0,2006,5.0,2006-03-04
734,완주,2006-03-05,10.9,2006,10.9,2006-03-05
734,완주,2006-03-06,10.0,2006,10.0,2006-03-06
734,완주,2006-03-07,5.8,2006,5.8,2006-03-07
734,완주,2006-03-08,7.6,2006,7.6,2006-03-08
734,완주,2006-03-09,9.0,2006,9.0,2006-03-09
734,완주,2006-03-10,9.6,2006,9.6,2006-03-10
734,완주,2006-03-11,7.8,2006,7.8,2006-03-11
734,완주,2006-03-12,-1.4,2006,-1.4,2006-03-12
734,완주,2006-03-13,-2.2,2006,-2.2,2006-03-13
734,완주,2006-03-14,0.2,2006,0.2,2006-03-14
734,완주,2006-03-15,4.7,2006,4.7,2006-03-15
734,완주,2006-03-16,4.5,2006,4.5,2006-03-16
734,완주,2006-03-17,8.1,2006,8.1,2006-03-17
734,완주,2006-03-18,8.1,2006,8.1,2006-03-18
734,완주,2006-03-19,3.2,2006,3.2,2006-03-19
734,완주,2006-03-20,4.6,2006,4.6,2006-03-20
734,완주,2006-03-21,9.8,2006,9.8,2006-03-21
734,완주,2006-03-22,10.7,2006,10.7,2006-03-22
734,완주,2006-03-23,6.3,2006,6.3,2006-03-23
734,완주,2006-03-24,3.7,2006,3.7,2006-03-24
734,완주,2006-03-25,9.4,2006,9.4,2006-03-25
734,완주,2006-03-26,9.7,2006,9.7,2006-03-26
734,완주,2006-03-27,7.8,2006,7.8,2006-03-27
734,완주,2006-03-28,2.2,2006,2.2,2006-03-28
734,완주,2006-03-29,4.1,2006,4.1,2006-03-29
734,완주,2006-03-30,4.8,2006,4.8,2006-03-30
734,완주,2006-03-31,7.3,2006,7.3,2006-03-31
734,완주,2006-04-01,11.1,2006,11.1,2006-04-01
734,완주,2006-04-02,7.4,2006,7.4,2006-04-02
734,완주,2006-04-03,10.2,2006,10.2,2006-04-03
734,완주,2006-04-04,10.1,2006,10.1,2006-04-04
734,완주,2006-04-05,11.5,2006,11.5,2006-04-05
734,완주,2006-04-06,9.4,2006,9.4,2006-04-06
734,완주,2006-04-07,12.0,2006,12.0,2006-04-07
734,완주,2006-04-08,10.0,2006,10.0,2006-04-08
734,완주,2006-04-09,14.4,2006,14.4,2006-04-09
734,완주,2006-04-10,13.7,2006,13.7,2006-04-10
734,완주,2006-04-11,13.6,2006,13.6,2006-04-11
734,완주,2006-04-12,11.3,2006,11.3,2006-04-12
734,완주,2006-04-13,8.9,2006,8.9,2006-04-13
734,완주,2006-04-14,11.8,2006,11.8,2006-04-14
734,완주,2006-04-15,9.2,2006,9.2,2006-04-15
734,완주,2006-04-16,6.8,2006,6.8,2006-04-16
734,완주,2006-04-17,11.8,2006,11.8,2006-04-17
734,완주,2006-04-18,18.1,2006,18.1,2006-04-18
734,완주,2006-04-19,12.1,2006,12.1,2006-04-19
734,완주,2006-04-20,7.1,2006,7.1,2006-04-20
734,완주,2006-04-21,8.8,2006,8.8,2006-04-21
734,완주,2006-04-22,10.1,2006,10.1,2006-04-22
734,완주,2006-04-23,9.1,2006,9.1,2006-04-23
734,완주,2006-04-24,9.4,2006,9.4,2006-04-24
734,완주,2006-04-25,10.5,2006,10.5,2006-04-25
734,완주,2006-04-26,11.3,2006,11.3,2006-04-26
734,완주,2006-04-27,11.2,2006,11.2,2006-04-27
734,완주,2006-04-28,12.1,2006,12.1,2006-04-28
734,완주,2006-04-29,11.9,2006,11.9,2006-04-29
734,완주,2006-04-30,18.9,2006,18.9,2006-04-30
734,완주,2006-05-01,19.0,2006,19.0,2006-05-01
734,완주,2006-05-02,18.0,2006,18.0,2006-05-02
734,완주,2006-05-03,15.2,2006,15.2,2006-05-03
734,완주,2006-05-04,17.8,2006,17.8,2006-05-04
734,완주,2006-05-05,22.1,2006,22.1,2006-05-05
734,완주,2006-05-06,19.3,2006,19.3,2006-05-06
734,완주,2006-05-07,19.5,2006,19.5,2006-05-07
734,완주,2006-05-08,20.2,2006,20.2,2006-05-08
734,완주,2006-05-09,20.1,2006,20.1,2006-05-09
734,완주,2006-05-10,17.6,2006,17.6,2006-05-10
734,완주,2006-05-11,18.5,2006,18.5,2006-05-11
734,완주,2006-05-12,16.7,2006,16.7,2006-05-12
734,완주,2006-05-13,14.5,2006,14.5,2006-05-13
734,완주,2006-05-14,15.4,2006,15.4,2006-05-14
734,완주,2006-05-15,17.1,2006,17.1,2006-05-15
734,완주,2006-05-16,18.6,2006,18.6,2006-05-16
734,완주,2006-05-17,19.2,2006,19.2,2006-05-17
734,완주,2006-05-18,18.3,2006,18.3,2006-05-18
734,완주,2006-05-19,15.8,2006,15.8,2006-05-19
734,완주,2006-05-20,17.9,2006,17.9,2006-05-20
734,완주,2006-05-21,23.1,2006,23.1,2006-05-21
734,완주,2006-05-22,21.6,2006,21.6,2006-05-22
734,완주,2006-05-23,16.3,2006,16.3,2006-05-23
734,완주,2006-05-24,19.0,2006,19.0,2006-05-24
734,완주,2006-05-25,19.3,2006,19.3,2006-05-25
734,완주,2006-05-26,20.5,2006,20.5,2006-05-26
734,완주,2006-05-27,19.2,2006,19.2,2006-05-27
734,완주,2006-05-28,17.0,2006,17.0,2006-05-28
734,완주,2006-05-29,17.2,2006,17.2,2006-05-29
734,완주,2006-05-30,19.4,2006,19.4,2006-05-30
734,완주,2006-05-31,21.1,2006,21.1,2006-05-31
734,완주,2006-06-01,22.2,2006,22.2,2006-06-01
734,완주,2006-06-02,25.9,2006,25.9,2006-06-02
734,완주,2006-06-03,22.6,2006,22.6,2006-06-03
734,완주,2006-06-04,21.2,2006,21.2,2006-06-04
734,완주,2006-06-05,22.1,2006,22.1,2006-06-05
734,완주,2006-06-06,22.3,2006,22.3,2006-06-06
734,완주,2006-06-07,23.1,2006,23.1,2006-06-07
734,완주,2006-06-08,22.1,2006,22.1,2006-06-08
734,완주,2006-06-09,22.3,2006,22.3,2006-06-09
734,완주,2006-06-10,22.3,2006,22.3,2006-06-10
734,완주,2006-06-11,19.8,2006,19.8,2006-06-11
734,완주,2006-06-12,22.6,2006,22.6,2006-06-12
734,완주,2006-06-13,23.9,2006,23.9,2006-06-13
734,완주,2006-06-14,19.7,2006,19.7,2006-06-14
734,완주,2006-06-15,19.5,2006,19.5,2006-06-15
734,완주,2006-06-16,23.1,2006,23.1,2006-06-16
734,완주,2006-06-17,23.5,2006,23.5,2006-06-17
734,완주,2006-06-18,22.6,2006,22.6,2006-06-18
734,완주,2006-06-19,23.9,2006,23.9,2006-06-19
734,완주,2006-06-20,24.7,2006,24.7,2006-06-20
734,완주,2006-06-21,25.4,2006,25.4,2006-06-21
734,완주,2006-06-22,23.2,2006,23.2,2006-06-22
734,완주,2006-06-23,25.1,2006,25.1,2006-06-23
734,완주,2006-06-24,25.2,2006,25.2,2006-06-24
734,완주,2006-06-25,22.7,2006,22.7,2006-06-25
734,완주,2006-06-26,22.4,2006,22.4,2006-06-26
734,완주,2006-06-27,24.9,2006,24.9,2006-06-27
734,완주,2006-06-28,27.4,2006,27.4,2006-06-28
734,완주,2006-06-29,27.8,2006,27.8,2006-06-29
734,완주,2006-06-30,26.0,2006,26.0,2006-06-30
734,완주,2006-07-01,23.2,2006,23.2,2006-07-01
734,완주,2006-07-02,22.4,2006,22.4,2006-07-02
734,완주,2006-07-03,26.5,2006,26.5,2006-07-03
734,완주,2006-07-04,23.3,2006,23.3,2006-07-04
734,완주,2006-07-05,23.4,2006,23.4,2006-07-05
734,완주,2006-07-06,22.8,2006,22.8,2006-07-06
734,완주,2006-07-07,22.7,2006,22.7,2006-07-07
734,완주,2006-07-08,25.0,2006,25.0,2006-07-08
734,완주,2006-07-09,24.6,2006,24.6,2006-07-09
734,완주,2006-07-10,24.2,2006,24.2,2006-07-10
734,완주,2006-07-11,24.7,2006,24.7,2006-07-11
734,완주,2006-07-12,27.7,2006,27.7,2006-07-12
734,완주,2006-07-13,29.2,2006,29.2,2006-07-13
734,완주,2006-07-14,28.3,2006,28.3,2006-07-14
734,완주,2006-07-15,29.1,2006,29.1,2006-07-15
734,완주,2006-07-16,27.6,2006,27.6,2006-07-16
734,완주,2006-07-17,21.5,2006,21.5,2006-07-17
734,완주,2006-07-18,23.9,2006,23.9,2006-07-18
734,완주,2006-07-19,21.7,2006,21.7,2006-07-19
734,완주,2006-07-20,21.3,2006,21.3,2006-07-20
734,완주,2006-07-21,23.7,2006,23.7,2006-07-21
734,완주,2006-07-22,23.2,2006,23.2,2006-07-22
